detection_datetime,receiver_deployment_longitude,receiver_deployment_latitude,station_name,Location,Tag_ID,Departure_date,Arrival_date,Departure_location,Arrival_location,Sex,Num_days,Direction,original_id,movement,Movement_date,distance,Presence,month,SST,SST_m_avrg,SST_anomaly,cur_GSLA,cur_m_avrg_GSLA,anomaly_GSLA,cur_UCUR,cur_m_avrg_UCUR,anomaly_UCUR,cur_VCUR,cur_m_avrg_VCUR,anomaly_VCUR,bathy,dist_to_land,lunar.illumination,lunar.phase,lunar.phase.deg
2018-11-06,153.27,-30.2,CHS 12,Coffs Harbour,29145,2018-12-25,2019-06-23,Coffs Harbour,deg_-32,M,180,South,410,Departure,2018-12-25,137.52074604809823,0,11,20.669092178344727,21.14869528141553,-0.47960310307080434,-0.06729433685541153,-0.11693977323134966,0.04964543637593813,-0.14618588984012604,-0.11693977323134966,-0.02924611660877638,-0.4007141292095184,-0.11693977323134966,-0.2837743559781687,-31,10,0.0193124654608397,6.004344234974866,344.02358340776686
2015-12-13,153.28,-30.2,CHS 13,Coffs Harbour,29145,2015-12-13,2016-06-27,Coffs Harbour,Flat Rock,M,197,North,400,Departure,2015-12-13,313.92254620192756,1,12,20.39205551147461,22.299255069050272,-1.9071995575756624,-0.01068164128810167,-0.08190511327049352,0.07122347198239184,0.0157172717154026,-0.08190511327049352,0.09762238498589612,0.14939038455486298,-0.08190511327049352,0.2312954978253565,-38,10,0.08558014473437592,0.5937656879313647,34.02026793814912
2015-06-08,153.28,-30.2,CHS 13,Coffs Harbour,29145,2015-12-13,2016-06-27,Coffs Harbour,Flat Rock,M,197,North,400,Departure,2015-12-13,313.92254620192756,0,6,21.684497833251953,21.321937304016547,0.36256052923540594,0.1860131472349167,-0.02476645677745568,0.21077960401237236,-0.03433384746313095,-0.02476645677745568,-0.00956739068567527,-0.15213708579540253,-0.02476645677745568,-0.12737062901794685,-38,10,0.5682085003698913,4.5755452856996355,262.1594338415696
2015-02-01,153.28,-30.2,CHS 13,Coffs Harbour,29145,2015-12-13,2016-06-27,Coffs Harbour,Flat Rock,M,197,North,400,Departure,2015-12-13,313.92254620192756,0,2,23.030574798583984,24.786757522332863,-1.7561827237488783,0.20356155931949615,-0.10049788298192104,0.3040594423014172,-0.09994964301586153,-0.10049788298192104,5.482399660595161e-4,-0.3801138401031494,-0.10049788298192104,-0.2796159571212284,-38,10,0.9491453760858188,2.686660295449235,153.934295914612
2018-07-11,153.28,-30.2,CHS 13,Coffs Harbour,29138,2018-07-11,2018-12-09,Coffs Harbour,deg_-34,M,151,South,283,Departure,2018-07-11,445.58210562053944,1,7,20.714746475219727,20.12453175202394,0.5902147231957855,0.2061556726694107,-0.04309783455026304,0.24925350721967376,0.0946088209748268,-0.04309783455026304,0.13770665552508984,0.3753834068775177,-0.04309783455026304,0.4184812414277808,-38,10,0.015893012384074423,6.030377638194713,345.5151875386264
2018-02-01,153.28,-30.2,CHS 13,Coffs Harbour,29138,2018-07-11,2018-12-09,Coffs Harbour,deg_-34,M,151,South,283,Departure,2018-07-11,445.58210562053944,0,2,24.861963272094727,24.786757522332863,0.07520574976186367,-0.07492408156394958,-0.10049788298192104,0.02557380141797145,-0.09079395234584808,-0.10049788298192104,0.00970393063607295,-0.2214151620864868,-0.10049788298192104,-0.12091727910456576,-38,10,0.9829734621669322,3.403310512400016,194.99532873302655
2018-02-26,153.28,-30.2,CHS 13,Coffs Harbour,29138,2018-07-11,2018-12-09,Coffs Harbour,deg_-34,M,151,South,283,Departure,2018-07-11,445.58210562053944,0,2,26.5408878326416,24.786757522332863,1.754130310308739,-0.06561579555273056,-0.10049788298192104,0.03488208742919048,-0.09674514830112456,-0.10049788298192104,0.00375273468079648,-0.243388831615448,-0.10049788298192104,-0.14289094863352697,-38,10,0.8816954818830289,2.439342964859886,139.76405667140057
2020-06-20,153.28,-30.2,CHS 13,Coffs Harbour,29145,2020-06-20,2020-07-06,Coffs Harbour,Moreton Island,M,16,North,417,Departure,2020-06-20,342.53746503030317,1,6,NA,21.321937304016547,NA,0.1327575445175171,-0.02476645677745568,0.15752400129497277,-0.04287916049361229,-0.02476645677745568,-0.01811270371615661,-0.12558558583259585,-0.02476645677745568,-0.10081912905514018,-38,10,6.830315278588683e-5,0.016529332466794423,0.9470609885158865
2020-02-19,153.28,-30.2,CHS 13,Coffs Harbour,29145,2020-06-20,2020-07-06,Coffs Harbour,Moreton Island,M,16,North,417,Departure,2020-06-20,342.53746503030317,0,2,25.926538467407227,24.786757522332863,1.1397809450743637,-0.01632765121757984,-0.10049788298192104,0.0841702317643412,-0.07889155298471451,-0.10049788298192104,0.02160632999720653,-0.26246318221092224,-0.10049788298192104,-0.16196529922900119,-38,10,0.15471233400795864,5.4746732013240145,313.6756686492413
2020-01-16,153.28,-30.2,CHS 13,Coffs Harbour,29145,2020-06-20,2020-07-06,Coffs Harbour,Moreton Island,M,16,North,417,Departure,2020-06-20,342.53746503030317,0,1,22.606714248657227,23.62319725261015,-1.0164830039529242,0.03860650211572647,-0.11100852131463028,0.14961502343035676,0.116735078394413,-0.11100852131463028,0.2277435997090433,0.30488455295562744,-0.11100852131463028,0.41589307427025773,-38,10,0.5937746737867022,4.523722355393898,259.1901986530502
2018-07-05,153.4778,-27.12783,Cherubs Cave,Moreton Island,29145,2018-07-05,2018-07-09,Moreton Island,Wolf Rock,M,4,North,408,Departure,2018-07-05,138.35028108147912,1,7,22.1798038482666,21.19363859983591,0.9861652484306908,0.09926844415138994,-0.05230718493926205,0.15157562909065198,0.00454930298303387,-0.05230718493926205,0.05685648792229592,-0.4069319777256059,-0.05230718493926205,-0.35462479278634385,-36,5,0.47931770479983776,4.753765375881393,272.3706928334252
2018-01-03,153.4778,-27.12783,Cherubs Cave,Moreton Island,29145,2018-07-05,2018-07-09,Moreton Island,Wolf Rock,M,4,North,408,Departure,2018-07-05,138.35028108147912,0,1,24.864526748657227,25.965315426097195,-1.1007886774399689,0.01227229027077944,-0.11549673459250326,0.1277690248632827,-0.04915181740444555,-0.11549673459250326,0.06634491718805771,0.02013954480710683,-0.11549673459250326,0.1356362793996101,-36,5,0.9653250953805637,3.5162032183977545,201.4636043245082
2018-12-10,153.4778,-27.12783,Cherubs Cave,Moreton Island,29145,2018-07-05,2018-07-09,Moreton Island,Wolf Rock,M,4,North,408,Departure,2018-07-05,138.35028108147912,0,12,24.5644474029541,24.388131217173463,0.1763161857806388,-0.01475486836844688,-0.10549819552909512,0.09074332716064824,0.02918278098041926,-0.10549819552909512,0.13468097650951438,-0.6087358512889824,-0.10549819552909512,-0.5032376557598873,-36,5,0.108745108758934,0.6721097737253967,38.50905340395798
2018-07-13,153.4778,-27.12783,Cherubs Cave,Moreton Island,29146,2018-07-13,2018-11-10,Moreton Island,Flat Rock,M,120,South,437,Departure,2018-07-13,30.684414273400645,1,7,22.055017471313477,21.19363859983591,0.8613788714775659,0.2100862978398565,-0.05230718493926205,0.26239348277911856,-0.04066463670208448,-0.05230718493926205,0.01164254823717757,-0.19123434840179465,-0.05230718493926205,-0.1389271634625326,-36,5,0.007440365199365806,0.17272975178641142,9.896685773703666
2018-09-10,153.4778,-27.12783,Cherubs Cave,Moreton Island,29146,2018-07-13,2018-11-10,Moreton Island,Flat Rock,M,120,South,437,Departure,2018-07-13,30.684414273400645,0,9,20.6734561920166,21.045923667838142,-0.3724674758215407,-0.06503473498363414,-0.08690723045780163,0.02187249547416749,0.03733024400528678,-0.08690723045780163,0.12423747446308842,-0.29275144151898713,-0.08690723045780163,-0.2058442110611855,-36,5,0.006363520468981143,0.1597130501763987,9.150883708268793
2018-04-27,153.4778,-27.12783,Cherubs Cave,Moreton Island,29146,2018-07-13,2018-11-10,Moreton Island,Flat Rock,M,120,South,437,Departure,2018-07-13,30.684414273400645,0,4,25.898950576782227,25.218138654057572,0.6808119227246543,0.1814606720127025,-0.03873483940019311,0.2201955114128956,-0.1100777459845542,-0.03873483940019311,-0.0713429065843611,0.0095771118297372,-0.03873483940019311,0.04831195122993031,-36,5,0.938191187110849,2.6390949736355163,151.20900372350434
2019-07-10,153.4778,-27.12783,Cherubs Cave,Moreton Island,29145,2019-07-10,2019-07-10,Moreton Island,Flat Rock,M,0,South,413,Departure,2019-07-10,30.33528087919444,1,7,22.28815460205078,21.19363859983591,1.0945160022148706,0.06484615476940458,-0.05230718493926205,0.11715333970866663,-0.01446372107752168,-0.05230718493926205,0.03784346386174037,-0.4243207950970598,-0.05230718493926205,-0.3720136101577977,-36,5,0.6120321888955641,1.7967792252111183,102.94786632138312
2019-01-07,153.4778,-27.12783,Cherubs Cave,Moreton Island,29145,2019-07-10,2019-07-10,Moreton Island,Flat Rock,M,0,South,413,Departure,2019-07-10,30.33528087919444,0,1,25.12503433227539,25.965315426097195,-0.8402810938218046,-0.07599553637019496,-0.11549673459250326,0.0395011982223083,-0.06765746045109608,-0.11549673459250326,0.04783927414140718,-0.34195790708749046,-0.11549673459250326,-0.2264611724949872,-36,5,0.029707681963965338,0.3464483573420158,19.85002869493769
2019-05-15,153.4778,-27.12783,Cherubs Cave,Moreton Island,29145,2019-07-10,2019-07-10,Moreton Island,Flat Rock,M,0,South,413,Departure,2019-07-10,30.33528087919444,0,5,23.83148956298828,23.823023176812505,0.0084663861757761,0.09063809120034112,-0.00540002373856023,0.09603811493890135,-0.2376955221413217,-0.00540002373856023,-0.23229549840276148,0.10032765469389512,-0.00540002373856023,0.10572767843245535,-36,5,0.8845097135443518,2.44810205797788,140.26591573942366
2019-07-16,153.4778,-27.12783,Cherubs Cave,Moreton Island,29145,2019-07-16,2020-06-06,Moreton Island,deg_-32,M,326,South,415,Departure,2019-07-16,479.1315622066682,1,7,NA,21.19363859983591,NA,0.11249868590828342,-0.05230718493926205,0.16480587084754547,-0.00260423341899271,-0.05230718493926205,0.04970295152026934,-0.31550591617270524,-0.05230718493926205,-0.2631987312334432,-36,5,0.998837600906815,3.073391487524616,176.09236102659452
2019-10-30,153.4778,-27.12783,Cherubs Cave,Moreton Island,29145,2019-07-16,2020-06-06,Moreton Island,deg_-32,M,326,South,415,Departure,2019-07-16,479.1315622066682,0,10,22.568742752075195,22.127033562098383,0.4417091899768124,0.01646746168809198,-0.10324507043988526,0.11971253212797724,0.03619397506504596,-0.10324507043988526,0.13943904550493122,-0.3938915895677244,-0.10324507043988526,-0.2906465191278391,-36,5,0.05981001697140931,0.4941335596777733,28.311767485312203
2019-09-06,153.4778,-27.12783,Cherubs Cave,Moreton Island,29145,2019-07-16,2020-06-06,Moreton Island,deg_-32,M,326,South,415,Departure,2019-07-16,479.1315622066682,0,9,20.11130142211914,21.045923667838142,-0.9346222457190017,0.00471190366461043,-0.08690723045780163,0.09161913412241206,0.00640417045031695,-0.08690723045780163,0.09331140090811858,-0.22881608642532775,-0.08690723045780163,-0.14190885596752612,-36,5,0.5000987432097307,1.5709938132156416,90.01131513841983
2019-07-26,153.4778,-27.12783,Cherubs Cave,Moreton Island,29146,2019-07-26,2020-08-23,Moreton Island,Flat Rock,M,394,South,442,Departure,2019-07-26,30.33528087919444,1,7,20.384849548339844,21.19363859983591,-0.808789051496067,0.0750480128749498,-0.05230718493926205,0.12735519781421184,0.04466084166553092,-0.05230718493926205,0.09696802660479298,-0.4293049643192868,-0.05230718493926205,-0.3769977793800247,-36,5,0.2652653574171279,5.201078591380506,297.99985220195026
2019-02-05,153.4778,-27.12783,Cherubs Cave,Moreton Island,29146,2019-07-26,2020-08-23,Moreton Island,Flat Rock,M,394,South,442,Departure,2019-07-26,30.33528087919444,0,2,24.05890655517578,26.33359019795402,-2.274683642778239,0.00860593358115014,-0.08053301620526444,0.08913894978641458,0.00296001584011284,-0.08053301620526444,0.08349303204537728,-0.4743104050095712,-0.08053301620526444,-0.3937773888043068,-36,5,0.013575183366501875,0.23355565134427744,13.38175310345605
2019-10-05,153.4778,-27.12783,Cherubs Cave,Moreton Island,29146,2019-07-26,2020-08-23,Moreton Island,Flat Rock,M,394,South,442,Departure,2019-07-26,30.33528087919444,0,10,20.979400634765625,22.127033562098383,-1.147632927332758,-0.08754341103790766,-0.10324507043988526,0.01570165940197759,0.03759341480161114,-0.10324507043988526,0.1408384852414964,-0.2963632668251398,-0.10324507043988526,-0.19311819638525457,-36,5,0.4437715855991594,1.458101107217903,83.54303954693818
2019-10-19,153.4778,-27.12783,Cherubs Cave,Moreton Island,29139,2019-10-19,2019-12-14,Moreton Island,Flat Rock,M,56,South,324,Departure,2019-10-19,30.33528087919444,1,10,21.943042755126953,22.127033562098383,-0.18399080697142975,-0.04851221324823923,-0.10324507043988526,0.05473285719164603,0.01238012882860925,-0.10324507043988526,0.11562519926849452,-0.5210892749203518,-0.10324507043988526,-0.41784420448046655,-36,5,0.6360265327572749,4.4368630526160056,254.21352719242805
2019-05-02,153.4778,-27.12783,Cherubs Cave,Moreton Island,29139,2019-10-19,2019-12-14,Moreton Island,Flat Rock,M,56,South,324,Departure,2019-10-19,30.33528087919444,0,5,24.969446182250977,23.823023176812505,1.1464230054384714,0.09902058989564765,-0.00540002373856023,0.10442061363420788,-0.07716186050231136,-0.00540002373856023,-0.07176183676375113,-0.05293733329988464,-0.00540002373856023,-0.04753730956132441,-36,5,0.02505166395498426,5.965294130145006,341.7861772114725
2019-09-20,153.4778,-27.12783,Cherubs Cave,Moreton Island,29139,2019-10-19,2019-12-14,Moreton Island,Flat Rock,M,56,South,324,Departure,2019-10-19,30.33528087919444,0,9,20.531476974487305,21.045923667838142,-0.5144466933508376,0.0380380702895329,-0.08690723045780163,0.12494530074733454,-0.07209031302660074,-0.08690723045780163,0.01481691743120089,0.0604055259917855,-0.08690723045780163,0.1473127564495871,-36,5,0.5809586198205019,4.5497557586137445,260.6818027839097
2020-07-07,153.4778,-27.12783,Cherubs Cave,Moreton Island,29145,2020-07-07,2020-07-08,Moreton Island,deg_-27,M,1,North,418,Departure,2020-07-07,59.478745693535174,1,7,NA,21.19363859983591,NA,0.06410355585276659,-0.05230718493926205,0.11641074079202864,0.02442544636927548,-0.05230718493926205,0.07673263130853752,-0.18527752126293065,-0.05230718493926205,-0.1329703363236686,-36,5,0.9406937981847899,3.6335974090216463,208.18979598661147
