Location,Tag_ID,Sex,Direction,movement,Presence,month,SST,SST_anomaly,cur_GSLA,anomaly_GSLA,cur_VCUR,anomaly_VCUR,lunar.illumination
Flat Rock,6388,M,North,Arrival,1,9,21.00935797257857,-0.00802660291240542,0.04257396981120109,0.1215814823798488,-0.189675435423851,-0.11066792285520329,0.744012933947729
Flat Rock,6388,M,North,Arrival,0,1,24.806948555840385,-1.195175649551917,0.01815878972411155,0.13309450306404355,-0.4759434163570404,-0.3610077030171084,0.07093375099207622
Flat Rock,6388,M,North,Arrival,0,3,23.953010732477363,-2.1745828840751074,0.14069247245788574,0.2085942089947292,-0.3694321811199188,-0.3015304445830754,0.009868316449431203
Moreton Island,6392,M,North,Arrival,1,11,22.982995986938477,-0.300252501071423,-0.00343033280223624,0.10339549967349591,-0.2335250934958288,-0.12669926102009663,0.28663207247310507
Moreton Island,6392,M,North,Arrival,0,9,20.790613174438477,-0.2553104933996657,-0.07209497414529598,0.01561351093940176,-0.5121145132183782,-0.4244060281336805,0.23440332771833544
Moreton Island,6392,M,North,Arrival,0,10,22.43035316467285,0.30331960257446866,-0.02195992823690391,0.0822183298257404,-0.46135230183599263,-0.3571740437733483,0.006868929790987299
Coffs Harbour,6392,M,North,Arrival,1,6,20.258087158203125,-0.664422184017532,0.18128271400928497,0.20604917078674065,-0.08728426694869995,-0.06251781017124428,0.7229865777278076
Coffs Harbour,6392,M,North,Arrival,0,4,23.44121551513672,-0.18823355581702117,-0.03799612447619438,0.0265439551314245,-0.3927792012691498,-0.3282391216615309,0.8837018586257057
Coffs Harbour,6392,M,North,Arrival,0,1,21.83635902404785,-1.1007959006814405,-0.04623624682426452,0.06477227449036577,-0.5246211886405945,-0.4136126673259642,0.5261202511501515
Flat Rock,6392,M,North,Arrival,1,8,21.803468704223633,0.7693104050633437,0.11368317902088164,0.18618066168234537,-0.1475592404603958,-0.07506175779893208,0.9997491971244732
Flat Rock,6392,M,North,Arrival,0,12,24.54007148742676,-0.1906617575726557,-0.02502555958926677,0.08039437898435609,-0.27253445982933044,-0.16711452125570758,0.9881215845890525
Flat Rock,6392,M,North,Arrival,0,9,20.626737594604492,-0.5611383385933628,-0.094914011657238,-0.01590649908859028,-0.2847420275211334,-0.20573451495248568,0.0512695417347217
Moreton Island,6392,M,North,Arrival,1,10,21.720703125,-0.4063304370983829,-0.06528619281947981,0.03889206524316449,-0.6246104943752023,-0.520432236312558,0.8959249235074984
Moreton Island,6392,M,North,Arrival,0,5,22.10018539428711,-1.7228377825253958,0.10124059386551504,0.10724167012935616,-0.05225611777975079,-0.04625504151590968,0.10001544591752942
Moreton Island,6392,M,North,Arrival,0,1,25.24248695373535,-0.7228284723618437,-0.06772465791553423,0.04886388629229725,-0.4477515149116271,-0.33116297070379563,0.062322438452272866
Flat Rock,6392,M,South,Arrival,1,12,23.914796829223633,-0.8159364157757842,-0.00579860527068376,0.0996213333029391,-0.3131246864795685,-0.2077047479059456,0.5434734326514453
Flat Rock,6392,M,South,Arrival,0,4,25.655561447143555,0.4849521997498307,0.1422184258699417,0.17989595083501003,-0.3320464491844177,-0.2943689242193494,0.966555075251182
Flat Rock,6392,M,South,Arrival,0,1,26.055034637451172,-0.15662945579079943,-0.06470023095607758,0.05023548238385442,-0.5113454461097717,-0.3964097327698397,0.029707681963965338
Coffs Harbour,6392,M,North,Arrival,1,7,20.23540687561035,0.1108751235864105,0.10773198306560516,0.1508298176158682,0.03479163348674774,0.07788946803701077,0.026845167481248045
Coffs Harbour,6392,M,North,Arrival,0,10,19.51726722717285,-0.9328078877889858,-0.0317397341132164,0.03496645199715771,-0.3503578305244446,-0.2836516444140705,0.35957483042140315
Coffs Harbour,6392,M,North,Arrival,0,3,24.094690322875977,-1.0383460713856252,0.08194344490766525,0.09995635246306309,-0.11429356038570404,-0.0962806528303062,0.1448052558826975
Coffs Harbour,6392,M,South,Arrival,1,6,20.24215316772461,-1.0797841362919378,0.12802709639072418,0.15279355316817986,0.00625638989731669,0.03102284667477237,0.6394032905456439
Coffs Harbour,6392,M,South,Arrival,0,5,NA,NA,0.24537256360054016,0.29885594883955513,-0.1007126197218895,-0.04722923448287453,0.6973277760460905
Coffs Harbour,6392,M,South,Arrival,0,8,19.12957191467285,-0.33533005756864753,0.09872888773679732,0.16063616658904145,-0.1858605593442917,-0.12395328049204755,0.8940882945646602
Flat Rock,6392,M,North,Arrival,1,11,23.709513028462727,0.38415016427622106,0.07980711758136749,0.18874799049497024,-0.13428349792957306,-0.0253426250159703,3.7648329853201545e-5
Flat Rock,6392,M,North,Arrival,0,3,24.034076309204103,-2.0935173073483675,0.0477621965110302,0.11566393304787366,-0.3856072425842285,-0.31770550604738507,0.9734978403965384
Flat Rock,6392,M,North,Arrival,0,10,22.717957814534504,0.5767341070425935,0.08240123093128204,0.1861831986305294,-0.34257549047470093,-0.23879352277545357,0.16582320109102477
Flat Rock,6392,M,South,Arrival,1,12,23.03264756636186,-1.5811947179792156,0.09857629239559174,0.2039962309692146,0.0048830360174179,0.11030297459104076,0.06762862268999742
Flat Rock,6392,M,South,Arrival,0,8,21.241374969482425,0.34221750992513833,0.17533151805400848,0.2478290007154722,-0.31999146938323975,-0.24749398672177603,0.07736299293997612
Flat Rock,6392,M,South,Arrival,0,1,26.189034461975098,0.18691025658279511,-0.18830206990242004,-0.07336635656248805,-0.5209589004516602,-0.40602318711172813,0.9959545750853191
Coffs Harbour,6392,M,North,Arrival,1,6,NA,NA,0.18219828605651855,0.20696474283397423,-0.2424732595682144,-0.2177068027907587,0.19875236359610304
Coffs Harbour,6392,M,North,Arrival,0,2,23.054340362548828,-0.8843579339199366,0.03723315149545669,0.13773103447737772,-0.2490348368883133,-0.14853695390639227,0.002454728917825666
Coffs Harbour,6392,M,North,Arrival,0,11,19.916515350341797,-0.6904240953663923,-0.07217737287282944,0.04476240035852022,-0.2443044036626816,-0.12736463043133195,0.548576177373053
Flat Rock,6392,M,North,Arrival,1,8,19.343802365389735,-1.5553550941675525,0.02288923226296901,0.09538671492443274,-0.35142600536346436,-0.27892852270200064,0.2806547313663092
Flat Rock,6392,M,North,Arrival,0,6,21.81471148404208,-0.3906819711236551,0.1747211366891861,0.18824289258230817,-0.1168876737356186,-0.10336591784249656,0.47919587171358
Flat Rock,6392,M,North,Arrival,0,10,21.811431884765625,-0.3297918227262855,0.0636320635676384,0.16741403126688575,-0.1583934873342514,-0.05461151963500406,0.005388152107936528
